Name,Assest Type,Column Title,Description,Description from source system,Source Column Name,size,Technical Data Type,Column Position,Is Primary Key,Is nullable,Contains PII,Primary Key
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,DAY_OF_WEEK_NAME,Full name of the day of week.,Documented in the source warehouse as column DOW_NM.,DOW_NM,15,VARCHAR2(15),7,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,IS_MONTH_END,Flag indicating whether the date is the last day of the month.,Documented in the source warehouse as column MNTH_END_FLG.,MNTH_END_FLG,1,CHAR(1),8,N,N,N,
WEALTH_DB.PUBLIC.DIM_DATE,Dimension Table,IS_TRADING_DAY,Flag indicating whether markets were open on the date.,Documented in the source warehouse as column TRDNG_DAY_FLG.,TRDNG_DAY_FLG,1,CHAR(1),9,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,ACCOUNT_ID,Foreign key to the account holding this position (DIM_ACCOUNT).,Documented in the source warehouse as column ACCT_SK.,ACCT_SK,10,NUMBER(10),1,Y,N,N,PK_FACT_POSITION
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,SECURITY_ID,Foreign key to the security held in this position (DIM_SECURITY).,Documented in the source warehouse as column SEC_SK.,SEC_SK,10,NUMBER(10),2,Y,N,N,PK_FACT_POSITION
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,AS_OF_DATE_ID,Foreign key to the snapshot date (DIM_DATE).,Documented in the source warehouse as column AS_OF_DT_SK.,AS_OF_DT_SK,8,NUMBER(8),3,Y,N,N,PK_FACT_POSITION
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,QUANTITY,Number of units/shares of the security held.,Documented in the source warehouse as column QTY.,QTY,"18,4","NUMBER(18,4)",4,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,MARKET_PRICE,"Price per unit as of the snapshot date, in local currency.",Documented in the source warehouse as column MKT_PX.,MKT_PX,"18,6","NUMBER(18,6)",5,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,MARKET_VALUE,Total market value of the position (QUANTITY x MARKET_PRICE).,Documented in the source warehouse as column MKT_VAL_AMT.,MKT_VAL_AMT,"18,2","NUMBER(18,2)",6,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,COST_BASIS,Total cost basis of the position.,Documented in the source warehouse as column CST_BASIS_AMT.,CST_BASIS_AMT,"18,2","NUMBER(18,2)",7,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,UNREALIZED_GAIN_LOSS,MARKET_VALUE minus COST_BASIS.,Documented in the source warehouse as column UNRLZD_GL_AMT.,UNRLZD_GL_AMT,"18,2","NUMBER(18,2)",8,N,Y,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,LOCAL_CURRENCY,ISO currency code of the monetary amounts on this row.,Documented in the source warehouse as column LCL_CCY_CD.,LCL_CCY_CD,3,VARCHAR2(3),9,N,N,N,
WEALTH_DB.PUBLIC.FACT_POSITION,Fact Table,POSITION_SOURCE_SYSTEM,System of record that supplied this position record.,Documented in the source warehouse as column SRC_SYS_CD.,SRC_SYS_CD,30,VARCHAR2(30),10,N,N,N,
